Id,COMM_CODE,Community_Name,Funded_services,HACC_services,Health_or_Human_services,Dental_sites,Primary_schools,Distance_Service,Number_of_households,Rank_funded,Rank_HACC,Rank_HH_services,Rank_dental,Rank_school,Rank_distance,Rank_household,DHS_Region,Area,Local_Government_Area,Population_density,Nearest_Health_Service,Residential,Business,Industrial,Rural,Other,Persons_per_household,People_In_non_private_dwellings,Public_rental_dwellings,Unemployed_persons,Persons_above_75_living_alone,Main_cultural_group_1_name,Main_cultural_group_1_percentage,Main_cultural_group_2_name,Main_cultural_group_2_percentage,Main_cultural_group_3_name,Main_cultural_group3_percentage
201,T202,Maryknoll,0,0,0,0,0,28,141,105,105,55,55,33,308,140,Southern Metropolitan,2.5,Cardinia (S),206.6,Kooweerup Regional Health Service,54.60%,0.30%,1.40%,32.30%,11.40%,3.5,0.00%,0.00%,4.80%,0.80%,ANGLO SAXON AND CELTIC,77.50%,DUTCH,11.10%,assets/towns/Maryknoll.jpg,"Maryknoll is a town in Victoria, Australia, 61 km south-east of Melbourne's Central Business District, located within the Shire of Cardinia local government area. Maryknoll recorded a population of 577 at the 2016 Census."
202,T203,Marysville,2,1,0,0,1,32,205,263,311,114,114,164,339,180,Hume,4.4,Murrindindi (S),105.6,Healesville and District Hospital,35.90%,2.60%,0.00%,3.30%,58.30%,2.5,5.20%,4.40%,3.70%,1.90%,ANGLO SAXON AND CELTIC,85.60%,GERMAN,3.30%,assets/towns/Marysville.jpg,"Marysville is a small town, 34 kilometres north-east of Healesville and 41 kilometres south of Alexandra, in the Shire of Murrindindi in Victoria, Australia. The town, which previously had a population of over 500 people."
203,T204,Meeniyan,1,0,1,0,1,16,168,219,219,142,142,184,182,157,Gippsland,2,South Gippsland (S),235.1,Gippsland Southern Health Service (Leongatha),24.40%,0.00%,0.00%,58.20%,17.40%,2.6,0.00%,3.60%,8.90%,2.70%,ANGLO SAXON AND CELTIC,84.90%,GERMAN,5.60%,assets/towns/Meeniyan.jpg,Meeniyan is a small country town on the South Gippsland Highway between Leongatha and Foster in Australia.
204,T205,Menzies Creek,0,0,1,0,2,11,153,106,106,130,130,307,129,149,Eastern Metropolitan,1.2,Yarra Ranges (S),447.8,Angliss Hospital,0.00%,0.10%,0.00%,89.10%,10.70%,3.4,0.00%,0.00%,4.60%,1.20%,ANGLO SAXON AND CELTIC,77.90%,GERMAN,6.30%,assets/towns/Menzies Creek.jpg,"Menzies Creek is a township in Melbourne, Victoria, Australia, 42 km south-east of Melbourne's Central Business District, located within the Shires of Cardinia and Yarra Ranges local government areas. Menzies Creek recorded a population of 998 at the 2016 Census."
205,T206,Merbein,1,0,7,0,1,9,785,220,220,227,226,247,118,307,Loddon Mallee,4.7,Mildura (RC),430.6,Mildura Base Hospital,35.10%,1.70%,7.60%,31.10%,24.50%,2.6,0.00%,4.40%,8.40%,3.60%,ANGLO SAXON AND CELTIC,84.40%,GERMAN,3.90%,assets/towns/Merbein.jpg,"Merbein is a town just north of Mildura, Victoria, in the Sunraysia region of Australia. It is on the Calder Highway between Mildura and the Murray River crossing at the Abbotsford Bridge to Curlwaa. At the 2016 census, the town had a population of 1,981"
206,T207,Meredith,1,0,7,0,1,42,127,221,221,228,227,248,373,131,Grampians,2,Golden Plains (S),179,Ballarat Hospital,37.80%,0.00%,0.00%,34.80%,27.30%,2.6,0.00%,0.00%,4.60%,1.90%,ANGLO SAXON AND CELTIC,91.40%,GERMAN,2.70%,assets/towns/Meredith.jpg,"Meredith is a town in Victoria, Australia, located on the Midland Highway between Ballarat and Geelong. At the 2016 census, Meredith had a population of 788."
207,T208,Merrigum,1,0,2,0,1,14,171,222,222,172,171,204,166,159,Hume,1.5,Greater Shepparton (C),307.4,Kyabram and District Health Service,66.60%,0.00%,0.00%,11.60%,21.80%,2.7,0.00%,4.70%,0.00%,1.30%,ANGLO SAXON AND CELTIC,81.00%,ITALIAN,9.10%,assets/towns/Merrigum.jpg,"Merrigum is a town in the Goulburn Valley region of Victoria, Australia. The town is in the City of Greater Shepparton local government area, 197 kilometres north of the state capital, Melbourne. At the 2011 census, Merrigum had a population of 672."
208,T209,Metung,0,0,0,0,1,31,290,107,107,56,56,136,332,223,Gippsland,4.6,East Gippsland (S),182,Bairnsdale Regional Health Service,74.70%,0.60%,0.00%,12.60%,12.20%,2.6,0.00%,0.00%,3.60%,3.30%,ANGLO SAXON AND CELTIC,87.30%,GERMAN,3.00%,assets/towns/Metung.jpg,"Metung is a town in East Gippsland region of Victoria, Australia. The town is 314 kilometres east of the state capital Melbourne and between the larger towns of Bairnsdale and Lakes Entrance. It is on a small peninsula 31 kilometres south-east of Bairnsdale, separating Lake King and Bancroft Bay on the Gippsland Lakes. At the 2006 census, Metung had a population of 1,207"
209,T210,Milawa,0,0,0,0,1,19,83,108,108,57,57,137,214,64,Hume,0.5,Wangaratta (RC),481.1,Northeast Health Wangaratta,76.70%,0.00%,0.00%,12.70%,10.70%,2.5,0.00%,0.00%,0.00%,0.00%,ANGLO SAXON AND CELTIC,93.30%,NORDIC,4.00%,assets/towns/Milawa.jpg,"Milawa is a town in Victoria, Australia, located on Snow Road, 18 kilometres south-east of Wangaratta, in the Rural City of Wangaratta. At the 2011 census, Milawa and the surrounding area had a population of 592"
210,T211,Mildura,192,45,81,5,5,2,11466,387,387,387,383,378,85,388,Loddon Mallee,41.9,Mildura (RC),797.7,Mildura Base Hospital,43.10%,3.40%,7.40%,15.50%,30.50%,2.7,1.50%,6.90%,6.60%,2.50%,ANGLO SAXON AND CELTIC,77.50%,ITALIAN,5.90%,assets/towns/Mildura.jpg,"Mildura is a regional city in north-west Victoria, Australia. Located on the Victorian side of the Murray River, Mildura had a population of 33,444 in 2016"
211,T212,Millgrove,2,0,1,0,1,29,600,264,258,145,145,185,320,288,Eastern Metropolitan,3.1,Yarra Ranges (S),523.2,Healesville and District Hospital,0.00%,0.00%,0.00%,78.70%,21.30%,2.7,0.00%,1.20%,12.30%,1.10%,ANGLO SAXON AND CELTIC,78.00%,GERMAN,7.00%,assets/towns/Millgrove.jpg,"Millgrove is a small town in Victoria, Australia, 63 km east of Melbourne's central business district. Its local government area is the Shire of Yarra Ranges. At the 2016 census, Millgrove had a population of 1,653"
212,T213,Miners Rest,0,0,0,0,1,12,211,109,109,58,58,138,136,191,Grampians,2.2,Ballarat (C),353.3,Ballarat Hospital,50.50%,0.00%,0.00%,45.50%,4.00%,3.4,0.00%,0.00%,3.20%,0.80%,ANGLO SAXON AND CELTIC,82.40%,GERMAN,6.60%,assets/towns/Miners Rest.jpg,"Miners Rest is a suburb of Ballarat, Victoria, Australia on the north-western rural-urban fringe of the city, 11 kilometres northwest of the Central Business District. The population at the 2016 census was 3,095"
213,T214,Minyip,8,0,25,0,1,21,190,307,287,316,296,286,248,174,Grampians,1.7,Yarriambiack (S),270.1,Dunmunkle Health Services (Murtoa),70.40%,0.00%,0.00%,9.80%,19.70%,2.3,6.60%,0.00%,4.20%,4.70%,ANGLO SAXON AND CELTIC,76.50%,GERMAN,16.20%,assets/towns/Minyip.jpg,"Minyip is a town in the Wimmeraregion of Victoria, Australia, 320 kilometres north west of Melbourne. It is in the Shire of Yarriambiack local government area. At the 2016 census, Minyip had a population of 524"
214,T215,Mirboo North,0,0,10,0,1,27,547,110,110,243,241,256,303,280,Gippsland,7.2,South Gippsland (S),223.6,Gippsland Southern Health Service (Leongatha),22.40%,0.60%,2.10%,54.50%,20.40%,2.7,3.60%,2.90%,6.30%,2.10%,ANGLO SAXON AND CELTIC,81.90%,ITALIAN,7.30%,assets/towns/Mirboo North.jpg,"Mirboo North is a town in Victoria, Australia, located 155 kilometres east of Melbourne, with a population of 1,697. It is in the South Gippsland Shire local government area."
215,T216,Moe-Yallourn,24,15,29,2,7,21,6262,350,357,333,359,383,238,382,Gippsland,24,Latrobe (C),694.6,Latrobe Regional Hospital,47.60%,1.50%,4.40%,29.00%,17.50%,2.5,1.70%,8.30%,10.80%,3.10%,ANGLO SAXON AND CELTIC,74.90%,ITALIAN,5.60%,assets/towns/Moe-Yallourn.jpg,"The Moe to Yallourn Rail Trail follows the route of the former railway line that serviced the Yallourn Power Station. The railway was built during the 1950’s to replace the original branch line, which joined the main line between Morwell and Moe. The new branch line was closed in 1986 as briquette production was moved to Morwell."
216,T217,Moriac,1,0,2,0,1,22,172,223,223,173,172,205,255,160,Barwon-South Western ,1.9,Surf Coast (S),358.6,Hesse Rural Health Service (Winchelsea),40.40%,0.00%,0.00%,49.40%,10.20%,3.6,0.00%,0.00%,2.10%,0.00%,ANGLO SAXON AND CELTIC,83.00%,DUTCH,4.10%,assets/towns/Moriac.jpg,"Moriac is a rural town in Victoria, Australia, located approximately 25 kilometres west of Geelong. It forms part of the Surf Coast Shire. At the 2016 census, Moriac had a population of 782."
217,T218,Mortlake,1,0,23,0,1,23,417,224,224,311,293,284,264,252,Barwon-South Western ,3.7,Moyne (S),291.3,Terang and Mortlake Health Service (Terang),41.30%,3.10%,2.20%,33.30%,20.00%,2.4,2.60%,1.20%,3.20%,5.30%,ANGLO SAXON AND CELTIC,91.90%,GERMAN,2.50%,assets/towns/Mortlake.jpg,"Mortlake is a town in the Western District of Victoria, Australia on the Hamilton Highway, 50 kilometres  north-east of Warrnambool. It is in the Shire of Moyne local government area and the federal Division of Wannon. At the 2001 census, Mortlake had a population of 941,rising to 996 in 2006,and to 1,073 in 2011"
218,T219,Morwell,145,36,66,4,5,8,5511,385,383,380,382,377,111,380,Gippsland,13.2,Latrobe (C),1109.8,Latrobe Regional Hospital,64.50%,3.70%,5.00%,8.40%,18.40%,2.5,1.20%,7.80%,12.60%,2.70%,ANGLO SAXON AND CELTIC,71.60%,ITALIAN,10.30%,assets/towns/Morwell.jpg,"Morwell is a town in the Latrobe Valley area of Gippsland, in South-Eastern Victoria, Australia approximately 149 km  east of Melbourne.Morwell has a population of approximately 13,770 people."
219,T220,Mount Beauty,1,1,19,0,1,1,686,225,306,290,280,279,62,299,Hume,12.1,Alpine (S),145.7,Alpine Health (Mount Beauty),30.40%,0.40%,1.70%,34.80%,32.80%,2.5,1.70%,1.60%,5.00%,4.00%,ANGLO SAXON AND CELTIC,80.20%,GERMAN,7.40%,assets/towns/Mount Beauty.jpg,"Mount Beauty is a small town in north-eastern Victoria, Australia. The town lies alongside the Kiewa River, at the junction of the Kiewa Valley Highway and Bogong High Plains Road in the Alpine Shirelocal government area."
220,T222,Mount Egerton,0,0,0,0,1,29,82,111,111,59,59,139,319,62,Grampians,1.3,Moorabool (S),187.6,Ballarat Hospital,58.00%,0.00%,0.00%,31.20%,10.90%,2.7,0.00%,0.00%,10.90%,1.30%,ANGLO SAXON AND CELTIC,80.90%,DUTCH,4.50%,assets/towns/Mount Egerton.jpg,"Mount Egerton is a historic gold mining town in Victoria, Australia. It is located on the mountain by the same name in the Shire of Moorabool local government area, 97 kilometres (60 mi) north west of the state capital, Melbourne. At the 2016 census, Mount Egerton had a population of 582."
221,T224,Mount Macedon,0,0,0,0,1,27,366,112,112,60,60,140,300,245,Loddon Mallee,7,Macedon Ranges (S),157.2,Kyneton District Health Service,0.00%,0.00%,0.00%,84.40%,15.60%,3.1,0.00%,0.80%,1.80%,0.60%,ANGLO SAXON AND CELTIC,80.60%,ITALIAN,4.90%,assets/towns/Mount Macedon.jpg,"Mount Macedonis a small town 64 kilometres  north-west of Melbourne in the Australian state of Victoria. The town is located below the mountain of the same name, which rises to 1,001 metres. At the 2016 census, Mount Macedon had a population of .1,335."
222,T225,Moyhu,2,0,20,0,0,28,87,265,259,292,281,100,315,72,Hume,1.8,Wangaratta (RC),125.9,Northeast Health Wangaratta,16.20%,0.00%,0.00%,76.60%,7.20%,2.6,0.00%,3.50%,8.00%,2.30%,ANGLO SAXON AND CELTIC,86.30%,GERMAN,7.80%,assets/towns/Moyhu.jpg,"Moyhu is a small town in North East Victoria, Australia. It is situated about 2.5 hours' drive from Melbourne, and 25 minutes from Wangaratta. It is part of the Rural City of Wangaratta. At the 2006 census, Moyhu had a population of 536"
223,T226,Murchison,2,1,5,0,1,20,311,266,312,215,214,237,232,232,Hume,5.6,Greater Shepparton (C),142.1,Goulburn Valley Health (Waranga),54.10%,0.00%,0.00%,33.30%,12.50%,2.5,5.10%,2.90%,7.10%,2.90%,ANGLO SAXON AND CELTIC,86.80%,GERMAN,3.00%,assets/towns/Murchison.jpg,"Murchison is a small riverside rural village located on the Goulburn River in Victoria, Australia. Murchison is located 167 kilometres from Melbourne and is just to the west of the Goulburn Valley Highway between Shepparton and Nagambie. At the 2016 census, Murchison had a population of 925."
224,T227,Murrayville,0,0,3,0,0,109,104,113,113,187,186,80,388,96,Loddon Mallee,1.1,Mildura (RC),200,Mallee Track Health and Community Service,66.80%,0.00%,0.00%,13.50%,19.70%,2.1,0.00%,0.00%,0.00%,6.40%,ANGLO SAXON AND CELTIC,71.90%,GERMAN,22.10%,assets/towns/Murrayville.jpg,"Murrayville is a town on the section of the Mallee Highway and Pinnaroo railway line between Ouyen and the South Australianborder. It is about 24 kilometres  east of the South Australian border and 536 kilometres north west of the state capital Melbourne, but 268 kilometres  east of Adelaide. At the 2016 census, Murrayville had a population of 280."
225,T228,Murtoa,2,0,10,0,1,16,319,267,260,245,243,257,192,234,Grampians,3.5,Yarriambiack (S),225.9,Dunmunkle Health Services (Murtoa),31.60%,0.00%,0.00%,31.90%,36.50%,2.6,0.00%,2.80%,5.70%,5.30%,ANGLO SAXON AND CELTIC,81.20%,GERMAN,13.60%,assets/towns/Murtoa.jpg,"Murtoa is a wheat district town in Victoria, Australia, situated around Lake Marma on the Wimmera Highway, 305 kilometres  north-west of the state capital, Melbourne. The town is in the Shire of Yarriambiack local government area. At the 2016 census, Murtoa had a population of 865."
226,T229,Myrniong,0,0,0,0,1,12,66,114,114,61,61,141,145,31,Grampians,5.2,Moorabool (S),43.5,Djerriwarrh Health Services (Bacchus Marsh),2.90%,0.00%,0.00%,91.40%,5.70%,3.3,0.00%,0.00%,2.90%,0.00%,ANGLO SAXON AND CELTIC,79.60%,ITALIAN,5.60%,assets/towns/Myrniong.jpg,"Myrniong is a town in Victoria, Australia. The town is near the Western Freeway, 72 kilometres north west of the state capital, Melbourne and 15 kilometres west of Bacchus Marsh. Situated close by the Lerderderg River, at the 2016 census, Myrniong had a population of 404."
227,T230,Myrtleford,13,1,33,1,1,2,1073,328,324,344,344,299,73,325,Hume,8.4,Alpine (S),326.1,Alpine Health (Myrtleford),35.60%,1.50%,3.20%,21.00%,38.70%,2.6,3.20%,5.10%,7.60%,3.70%,ANGLO SAXON AND CELTIC,65.50%,ITALIAN,22.40%,assets/towns/Myrtleford.jpg,"Myrtleford is a town in northeast Victoria, Australia, 280 km northeast of Melbourne and 46 km southeast of Wangaratta. Myrtleford is part of the Alpine Shire local government area and at the 2016 census the town had a population of 3,193."
228,T231,Nagambie,1,0,12,0,2,26,584,226,225,252,250,315,296,285,Hume,4.7,Strathbogie (S),319.7,Seymour District Memorial Hospital,46.50%,3.10%,0.00%,29.60%,20.80%,2.4,2.90%,4.30%,4.30%,4.60%,ANGLO SAXON AND CELTIC,82.30%,ITALIAN,5.40%,assets/towns/Nagambie.jpg,"Nagambie is a town in Victoria, Australia. The town is on the Goulburn Valley Highway north of Seymour and in the Shire of Strathbogie. At the 2016 census, Nagambie had a population of 1,886."
229,T232,Napoleons,0,0,0,0,1,13,51,115,115,62,62,142,155,12,Grampians,3.5,Golden Plains (S),46.7,Ballarat Hospital,23.70%,0.00%,0.00%,68.60%,7.70%,3.3,0.00%,0.00%,3.80%,0.00%,ANGLO SAXON AND CELTIC,93.20%,GERMAN,3.40%,assets/towns/Napoleons.jpg,"Napoleons is a town in Victoria, Australia in the Golden Plains Shire local government area, 131 kilometres  west of the state capital, Melbourne. At the 2016 census, Napoleons had a population of 553."
230,T233,Nar-Nar-Goon,0,0,2,0,2,19,187,116,116,157,157,308,217,171,Southern Metropolitan,3.9,Cardinia (S),166.9,Kooweerup Regional Health Service,16.40%,0.50%,0.00%,74.60%,8.50%,3.3,0.00%,0.00%,5.10%,1.30%,ANGLO SAXON AND CELTIC,81.70%,ITALIAN,3.40%,assets/towns/Nar-Nar-Goon.jpg,"Nar Nar Goon is a town in Gippsland, Victoria, Australia, 61 km south-east of Melbourne'sCentral Business District, located within the Shire of Cardinia local government area. Nar Nar Goon recorded a population of 1,012 at the 2016 Census"
231,T234,Narrawong,0,0,0,0,1,16,69,117,117,63,63,143,183,36,Barwon-South Western ,1.1,Glenelg (S),176.1,Portland District Health,61.80%,0.00%,0.00%,14.40%,23.90%,2.6,0.00%,0.00%,9.80%,0.00%,ANGLO SAXON AND CELTIC,91.70%,DUTCH,8.30%,assets/towns/Narrawong.jpg,"Narrawong is a small town in south west Victoria, Australia located on the Princes Highway 18 kilometers to the east of Portland at the mouth of the Surry River.At the 2006 census, Narrawong and the surrounding area had a population of 176"
232,T235,Nathalia,8,0,20,0,2,0,588,308,288,296,284,322,16,286,Hume,3.6,Moira (S),409.5,Nathalia District Hospital,59.20%,2.70%,2.60%,9.80%,25.70%,2.4,3.40%,4.10%,3.40%,4.50%,ANGLO SAXON AND CELTIC,89.60%,GERMAN,2.50%,assets/towns/Nathalia.jpg,"Nathalia is a town in northern Victoria, Australia. The town is located within the Shire of Moira local government area on the banks of Broken Creek and on the Murray Valley Highway. At the 2011 census, Nathalia had a population of 1,902"
233,T236,Natimuk,1,0,22,0,1,25,175,227,226,306,291,283,292,163,Grampians,2.2,Horsham (RC),212,Wimmera Base Hospital,36.80%,0.00%,0.00%,46.40%,16.80%,2.4,8.00%,2.80%,7.80%,3.70%,ANGLO SAXON AND CELTIC,79.10%,GERMAN,11.00%,assets/towns/Natimuk.jpg,"Natimuk is a town in Western Victoria, Australia. It is located about 300 kilometres northwest of Melbourne. A further 10 km  west of Natimuk is one of Australia's best climbing areas, Mount Arapiles. At the 2016 census, Natimuk had a population of 514, up from 449 in 2006."
234,T237,Neerim South,2,0,6,0,1,21,227,268,261,223,222,244,245,201,Gippsland,2.2,Baw Baw (S),313.3,West Gippsland Healthcare Group (Warragul),58.30%,2.00%,1.80%,29.20%,8.70%,2.7,3.60%,4.80%,2.90%,2.40%,ANGLO SAXON AND CELTIC,82.00%,DUTCH,4.50%,assets/towns/Neerim South.jpg,"Neerim South is a town in West Gippsland, Victoria, Australia, located in the Shire of Baw Baw, 109 kilometres east of Melbourne and 19 kilometres north of Warragul. At the 2016 census, Neerim South had a population of 1,305."
235,T238,Newhaven,0,0,0,0,1,28,624,118,118,64,64,144,310,291,Gippsland,3.4,Bass Coast (S),617.6,Bass Coast Regional Health,60.70%,0.10%,0.70%,3.60%,34.90%,2.8,0.00%,0.00%,5.30%,1.80%,ANGLO SAXON AND CELTIC,79.70%,ITALIAN,5.40%,assets/towns/Newhaven.jpg,"Newhaven is a town in southern Victoria, in the south Gippsland region. Located on Phillip Island, adjacent to the channel known as The Narrows, it is the town on the island side of the bridge linking Phillip Island to the mainland. At the 2016 census, Newhaven had a population of 449"
236,T239,Newlands Arm,0,0,0,0,0,18,166,119,119,65,65,34,210,154,Gippsland,3.2,East Gippsland (S),151.8,Bairnsdale Regional Health Service,37.30%,0.10%,0.00%,46.20%,16.30%,2.7,0.00%,0.00%,11.20%,1.30%,ANGLO SAXON AND CELTIC,88.10%,GERMAN,3.60%,assets/towns/Newlands Arm.jpg,"Newlands Arm is a residential estate on the Gippsland Lakes, south of Paynesville. The Newlands Backwater separates it from Paynesville.
"
237,T240,Newstead,0,0,1,0,0,16,216,120,120,131,131,69,180,196,Loddon Mallee,4.2,Mount Alexander (S),127.5,Maldon Hospital,58.10%,0.00%,0.00%,17.50%,24.40%,2.3,0.00%,2.30%,10.90%,2.80%,ANGLO SAXON AND CELTIC,85.00%,ITALIAN,5.90%,assets/towns/Newstead.jpg,"Newstead is a town in Victoria, Australia, situated along the Loddon River. It is in the Shire of Mount Alexander local government area. At the 2006 census, Newstead had a population of 487."
238,T241,Nhill,28,12,39,1,2,0,799,354,346,358,352,350,6,309,Grampians,8.9,Hindmarsh (S),221.2,West Wimmera Health Service (Nhill),17.40%,1.40%,1.70%,59.80%,19.80%,2.4,3.80%,1.40%,3.20%,6.00%,ANGLO SAXON AND CELTIC,75.40%,GERMAN,16.20%,assets/towns/Nhill.jpg,"Nhill is a town in the Wimmera, in western Victoria, Australia. Nhill is located on the Western Highway, halfway between Adelaide and Melbourne. At the 2011 census, Nhill had a population of 2278"
239,T242,Nilma,0,0,0,0,0,4,68,121,121,66,66,35,95,35,Gippsland,1.2,Baw Baw (S),168.1,West Gippsland Healthcare Group (Warragul),35.60%,0.00%,0.00%,39.70%,24.70%,3.3,0.00%,0.00%,8.50%,0.00%,ANGLO SAXON AND CELTIC,79.70%,GERMAN,6.70%,assets/towns/Nilma.jpg,"Nilma is a small town in the West Gippsland region of Victoria, Australia located between Warragul and Darnum. At the 2006 census Nilma had a population of 218."
240,T243,Noojee,0,0,1,0,1,40,55,122,122,132,132,175,368,17,Gippsland,2.9,Baw Baw (S),44.2,West Gippsland Healthcare Group (Warragul),25.80%,0.00%,0.00%,27.80%,46.40%,2.4,0.00%,0.00%,5.80%,5.20%,ANGLO SAXON AND CELTIC,70.90%,DUTCH,7.30%,assets/towns/Noojee.jpg,"Noojee is a town in the Gippsland region of Victoria, Australia, north of Warragul and east of Melbourne, in the Baw Baw local government area. At the 2006 census, Noojee and the surrounding area had a population of 261."
241,T244,Noorat,0,0,0,0,0,8,86,123,123,67,67,36,107,67,Barwon-South Western ,2.4,Corangamite (S),111.7,Terang and Mortlake Health Service (Terang),36.70%,0.00%,0.00%,55.80%,7.40%,3,0.00%,0.00%,4.40%,1.20%,ANGLO SAXON AND CELTIC,81.30%,GERMAN,5.80%,assets/towns/Noorat.jpg,"Noorat is a small township in southwestern Victoria, Australia. Noorat is located approximately 211 km west of Melbourne. The township is located at the base of Mount Noorat, a dormant volcano, which is considered to have Australia's largest dry crater. At the 2006 census, Noorat had a population of 252."
242,T245,Numurkah,15,0,27,0,2,2,1472,333,302,326,303,327,74,340,Hume,9.1,Moira (S),431.8,Numurkah District Health Service,32.70%,2.70%,3.00%,37.00%,24.50%,2.5,2.00%,3.10%,4.60%,4.40%,ANGLO SAXON AND CELTIC,86.00%,GERMAN,4.00%,assets/towns/Numurkah.jpg,"Numurkah is a town in Victoria, Australia, located on the Goulburn Valley Highway, 37 kilometres north of Shepparton, in the Shire of Moira. At the 2017 census, Numurkah had a population of 4,768."
243,T246,Nyah,0,0,0,0,0,3,134,124,124,68,68,37,94,134,Loddon Mallee,1.2,Swan Hill (RC),287.4,Swan Hill District Hospital (Nyah),35.10%,1.50%,2.10%,28.80%,32.50%,2.5,0.00%,0.00%,4.80%,4.20%,ANGLO SAXON AND CELTIC,81.80%,DUTCH,5.60%,assets/towns/Nyah.jpg,"Nyah is a town in northern Victoria, Australia. The town is located on the Murray Valley Highway, in the Rural City of Swan Hill local government area, 365 kilometres (227 mi) north west of the state capital, Melbourne. At the 2011 census, Nyah had a population of 483"
244,T247,Nyah West,1,0,4,0,0,1,210,228,227,195,194,83,53,189,Loddon Mallee,1.7,Swan Hill (RC),331,Swan Hill District Hospital (Nyah),38.20%,2.60%,0.00%,43.00%,16.20%,2.5,6.30%,7.70%,20.80%,2.80%,ANGLO SAXON AND CELTIC,80.10%,GERMAN,7.80%,assets/towns/Nyah West.jpg,"Nyah West is a town in Victoria, Australia near the Murray River, the border with New South Wales. It is near the Murray Valley Highway (Nyah West is on the railway line, Nyah is on the highway), 371 kilometres  north-west of Melbourne and 27 kilometres north-west of Swan Hill."
245,T248,Nyora,0,0,0,0,1,24,185,125,125,69,69,145,279,169,Gippsland,1.9,South Gippsland (S),300.5,Kooweerup Regional Health Service,58.70%,0.00%,2.40%,20.00%,18.90%,3,0.00%,0.00%,3.70%,0.00%,ANGLO SAXON AND CELTIC,81.00%,DUTCH,7.40%,assets/towns/Nyora.jpg,"Nyora is a town in south Gippsland, Australia. At the 2016 Census, Nyora recorded a population of 1,527. Nyora is 12 kilometres  from Lang Lang, and 11 kilometres  from the nearest beach."
246,T249,Ocean Grove-Barwon Heads,4,0,35,3,4,23,5290,291,278,347,370,369,266,379,Barwon-South Western ,23.8,Greater Geelong (C),692.9,The Geelong Hospital,40.60%,1.30%,0.80%,10.30%,47.00%,2.8,0.40%,0.70%,4.50%,2.50%,ANGLO SAXON AND CELTIC,85.10%,GERMAN,4.10%,assets/towns/Ocean Grove-Barwon Heads.jpg,"Barwon Heads is a coastal township on the Bellarine Peninsula, near Geelong, Victoria, Australia. It is situated on the west bank of the mouth of the Barwon River below Lake Connewarre, while it is bounded to the west by farmland, golf courses and the ephemeral saline wetland Murtnaghurt Lagoon. At the 2016 census, Barwon Heads had a population of 3,875."
247,T250,Omeo,5,0,21,0,1,0,87,295,280,302,289,281,4,70,Gippsland,2,East Gippsland (S),107.8,Omeo District Health,35.40%,2.60%,3.60%,37.80%,20.50%,2.5,8.50%,3.30%,2.50%,2.60%,ANGLO SAXON AND CELTIC,85.20%,FRANCO-BELGIAN,3.10%,assets/towns/Omeo.jpg,"Omeo  is a town in Victoria, Australia on the Great Alpine Road, east of Mount Hotham, in the Shire of East Gippsland. At the 2016 census, Omeo had a population of 406. "
248,T251,Orbost,16,0,33,1,3,0,877,335,304,343,343,360,12,315,Gippsland,5.3,East Gippsland (S),407.1,Orbost Regional Health,34.80%,3.60%,3.60%,40.60%,17.40%,2.4,2.50%,7.90%,10.50%,3.80%,ANGLO SAXON AND CELTIC,85.00%,GERMAN,4.60%,assets/towns/Orbost.jpg,"Orbost is an historic tourist town in the Shire of East Gippsland, Victoria, Australia, 375 kilometres east of Melbourne and 235 kilometres south of Canberra where the Princes Highway crosses the Snowy River.At the 2006 census, Orbost had a population of 2452."
249,T252,Ouyen,9,0,27,1,0,0,434,311,291,325,334,110,15,258,Loddon Mallee,3.4,Mildura (RC),318.3,Mallee Track Health and Community Service,66.40%,0.00%,0.00%,0.70%,32.80%,2.4,4.90%,3.20%,3.80%,4.70%,ANGLO SAXON AND CELTIC,88.70%,GERMAN,4.80%,assets/towns/Ouyen.jpg,"Ouyen  is a town in Victoria, Australia, located in the Rural City of Mildura at the junction of the Calder Highway and Mallee Highway, 105 kilometres  south of Mildura, and 441 km  northwest of Melbourne. At the 2016 census, the town had a population of 1,045."
250,T253,Oxley,1,1,0,0,0,14,107,229,307,113,113,63,163,101,Hume,1.2,Wangaratta (RC),286.6,Northeast Health Wangaratta,84.40%,0.00%,0.00%,11.60%,4.00%,2.8,0.00%,0.00%,2.00%,2.00%,ANGLO SAXON AND CELTIC,75.90%,ITALIAN,10.30%,assets/towns/Oxley.jpg,"Oxley is a town in Victoria, Australia, located on Snow Road, 13 kilometres south-east of Wangaratta, in the Rural City of Wangaratta. At the 2016 census, Oxley had a population of 631."
251,T254,Panton Hill,2,1,2,0,1,24,153,269,313,181,180,213,283,150,North & West Metropolitan,4.7,Nillumbik (S),117.5,Maroondah Hospital,5.90%,0.00%,0.00%,74.20%,19.90%,3.5,0.00%,0.00%,3.80%,0.00%,ANGLO SAXON AND CELTIC,83.90%,ITALIAN,5.00%,assets/towns/Panton Hill.jpg,"Panton Hill is a town in Victoria, Australia, 32 km north-east of Melbourne's Central Business District. Its local government area is the Shire of Nillumbik. At the 2016 Census, Panton Hill had a population of 1,062."
